team1,team2,win
pet-bluebird,pet-turkey,1
pet-bluebird,pet-cat,1
pet-bluebird,pet-boar,1
pet-bluebird,pet-dragon,1
pet-bluebird,pet-fly,1
pet-bluebird,pet-gorilla,1
pet-bluebird,pet-leopard,1
pet-bluebird,pet-mammoth,1
pet-bluebird,pet-octopus,1
pet-bluebird,pet-sauropod,1
pet-bluebird,pet-snake,1
pet-bluebird,pet-tiger,1
pet-bluebird,pet-tyrannosaurus,1
pet-bluebird,pet-dirty-rat,2
pet-bluebird,pet-butterfly,2
pet-bluebird,pet-bee,2
pet-bluebird,pet-none,0
pet-cricket,pet-cricket,2
pet-cricket,pet-duck,2
pet-cricket,pet-fish,1
pet-cricket,pet-horse,0
pet-cricket,pet-ladybug,2
pet-cricket,pet-mosquito,2
pet-cricket,pet-otter,0
pet-cricket,pet-pig,0
pet-cricket,pet-sloth,0
pet-cricket,pet-bat,2
pet-cricket,pet-crab,1
pet-cricket,pet-dodo,1
pet-cricket,pet-dog,2
pet-cricket,pet-dromedary,1
pet-cricket,pet-elephant,1
pet-cricket,pet-flamingo,0
pet-cricket,pet-hedgehog,2
pet-cricket,pet-peacock,1
pet-cricket,pet-rat,1
pet-cricket,pet-shrimp,1
pet-cricket,pet-spider,1
pet-cricket,pet-swan,2
pet-cricket,pet-tabby-cat,1
pet-cricket,pet-badger,1
pet-cricket,pet-blowfish,1
pet-cricket,pet-caterpillar,2
pet-cricket,pet-camel,1
pet-cricket,pet-hatching-chick,0
pet-cricket,pet-giraffe,1
pet-cricket,pet-kangaroo,0
pet-cricket,pet-owl,1
pet-cricket,pet-ox,1
pet-cricket,pet-puppy,0
pet-cricket,pet-rabbit,2
pet-cricket,pet-sheep,1
pet-cricket,pet-snail,2
pet-cricket,pet-tropical-fish,1
pet-cricket,pet-turtle,0
pet-cricket,pet-whale,1
pet-cricket,pet-bison,1
pet-cricket,pet-buffalo,1
pet-cricket,pet-deer,1
pet-cricket,pet-dolphin,1
pet-cricket,pet-hippo,1
pet-cricket,pet-llama,1
pet-cricket,pet-lobster,1
pet-cricket,pet-monkey,0
pet-cricket,pet-penguin,0
pet-cricket,pet-poodle,2
pet-cricket,pet-rooster,1
pet-cricket,pet-skunk,1
pet-cricket,pet-squirrel,2
pet-cricket,pet-worm,2
pet-cricket,pet-chicken,0
pet-cricket,pet-cow,1
pet-cricket,pet-crocodile,1
pet-cricket,pet-eagle,1
pet-cricket,pet-goat,1
pet-cricket,pet-microbe,0
pet-cricket,pet-parrot,1
pet-cricket,pet-rhino,1
pet-cricket,pet-scorpion,0
pet-cricket,pet-seal,1
pet-cricket,pet-turkey,1
pet-cricket,pet-cat,1
pet-cricket,pet-boar,1
pet-cricket,pet-dragon,1
pet-cricket,pet-fly,1
pet-cricket,pet-gorilla,1
pet-cricket,pet-leopard,1
pet-cricket,pet-mammoth,1
pet-cricket,pet-octopus,1
pet-cricket,pet-sauropod,1
pet-cricket,pet-snake,1
pet-cricket,pet-tiger,1
pet-cricket,pet-tyrannosaurus,1
pet-cricket,pet-dirty-rat,0
pet-cricket,pet-butterfly,0
pet-cricket,pet-bee,0
pet-cricket,pet-none,0
pet-duck,pet-duck,2
