team1,team2,win,team1_tier,team2_tier
pet-dodo.pet-horse.pet-snake,pet-giraffe.pet-rabbit.pet-kangaroo,0,9,9
pet-caterpillar.pet-ant.pet-sloth,pet-deer.pet-dog.pet-hedgehog,1,5,9
pet-deer.pet-crocodile.pet-bat,pet-sloth.pet-bluebird.pet-hippo,0,11,6
pet-spider.pet-ox.pet-scorpion,pet-blowfish.pet-elephant.pet-beetle,1,10,6
pet-tabby-cat.pet-rooster.pet-rabbit,pet-boar.pet-otter.pet-pig,2,9,8
pet-octopus.pet-microbe.pet-microbe,pet-eagle.pet-crocodile.pet-seal,1,14,15
pet-sauropod.pet-butterfly.pet-kangaroo,pet-tabby-cat.pet-snake.pet-bluebird,0,9,9
pet-dolphin.pet-shrimp.pet-beaver,pet-kangaroo.pet-duck.pet-sloth,0,7,5
pet-skunk.pet-swan.pet-eagle,pet-beaver.pet-eagle.pet-llama,1,11,10
pet-tyrannosaurus.pet-parrot.pet-deer,pet-butterfly.pet-giraffe.pet-penguin,0,14,7
pet-goat.pet-scorpion.pet-crocodile,pet-beaver.pet-duck.pet-ladybug,0,15,3
pet-dog.pet-rat.pet-none,pet-bluebird.pet-snail.pet-ant,0,5,5
pet-elephant.pet-beetle.pet-ox,pet-leopard.pet-hatching-chick.pet-ladybug,0,6,10
pet-worm.pet-seal.pet-rooster,pet-goat.pet-kangaroo.pet-cricket,1,13,9
pet-beetle.pet-snail.pet-peacock,pet-poodle.pet-tiger.pet-cow,1,6,16
pet-kangaroo.pet-worm.pet-tabby-cat,pet-sauropod.pet-fly.pet-dromedary,1,9,14
pet-poodle.pet-chicken.pet-owl,pet-octopus.pet-duck.pet-tabby-cat,1,13,9
pet-swan.pet-gorilla.pet-rabbit,pet-worm.pet-pig.pet-squirrel,0,11,9
pet-giraffe.pet-caterpillar.pet-peacock,pet-horse.pet-rabbit.pet-microbe,0,8,8
pet-whale.pet-mosquito.pet-duck,pet-elephant.pet-whale.pet-owl,1,6,9
pet-crab.pet-octopus.pet-blowfish,pet-monkey.pet-sauropod.pet-bluebird,0,11,12
pet-none.pet-buffalo.pet-tropical-fish,pet-peacock.pet-dromedary.pet-ant,0,7,5
pet-llama.pet-squirrel.pet-turtle,pet-goat.pet-eagle.pet-squirrel,1,11,14
